# step   N   rho   U
30000 21 0.0612245 -11.0156
30050 21 0.0612245 -11.168
30100 21 0.0612245 -10.4214
30150 24 0.0699708 -11.4444
30200 23 0.0670554 -10.8359
30250 21 0.0612245 -10.5697
30300 18 0.0524781 -4.19828
30350 22 0.0641399 -8.95967
30400 14 0.0408163 -6.57002
30450 8 0.0233236 -1.83861
30500 17 0.0495627 -5.1563
30550 11 0.03207 -1.12612
30600 11 0.03207 -2.28928
30650 20 0.058309 -8.47665
30700 26 0.0758017 -11.1593
30750 20 0.058309 -9.66231
30800 25 0.0728863 -17.0333
30850 25 0.0728863 -15.7918
30900 24 0.0699708 -14.0475
30950 23 0.0670554 -16.4034
31000 21 0.0612245 -10.3001
31050 23 0.0670554 -13.2153
31100 24 0.0699708 -13.2203
31150 18 0.0524781 -8.32185
31200 18 0.0524781 -9.10568
31250 16 0.0466472 -2.82283
31300 25 0.0728863 -9.89728
31350 24 0.0699708 -12.0253
31400 18 0.0524781 -7.50878
31450 21 0.0612245 -14.1797
31500 25 0.0728863 -19.4603
31550 30 0.0874636 -24.6161
31600 28 0.0816327 -21.8507
31650 28 0.0816327 -18.2055
31700 23 0.0670554 -9.17457
31750 26 0.0758017 -13.8593
31800 28 0.0816327 -20.5146
31850 23 0.0670554 -13.1421
31900 20 0.058309 -10.3685
31950 16 0.0466472 -6.46488
32000 18 0.0524781 -7.71604
32050 21 0.0612245 -11.3106
32100 15 0.0437318 -2.81097
32150 16 0.0466472 -3.25839
32200 15 0.0437318 -1.78073
32250 8 0.0233236 -0.953987
32300 18 0.0524781 -3.66204
32350 19 0.0553936 -6.97105
32400 17 0.0495627 -6.824
32450 11 0.03207 -1.66201
32500 11 0.03207 -3.63351
32550 18 0.0524781 -6.39986
32600 17 0.0495627 -6.23077
32650 16 0.0466472 -6.65113
32700 17 0.0495627 -10.472
32750 19 0.0553936 -11.3693
32800 21 0.0612245 -8.22658
32850 22 0.0641399 -8.2269
32900 22 0.0641399 -9.48452
32950 27 0.0787172 -10.6624
33000 21 0.0612245 -14.2884
33050 20 0.058309 -13.4879
33100 22 0.0641399 -14.5816
33150 24 0.0699708 -18.8194
33200 16 0.0466472 -10.5799
33250 28 0.0816327 -18.9446
33300 27 0.0787172 -19.7992
33350 19 0.0553936 -15.791
33400 17 0.0495627 -14.5827
33450 26 0.0758017 -20.2886
33500 21 0.0612245 -11.3153
33550 14 0.0408163 -4.20983
33600 17 0.0495627 -6.57556
33650 19 0.0553936 -8.99695
33700 21 0.0612245 -11.4925
33750 22 0.0641399 -13.2598
33800 22 0.0641399 -11.1805
